artist,song,version,UG link,
Ed Sheeran,Castle On The Hill,1,https://tabs.ultimate-guitar.com/tab/ed-sheeran/castle-on-the-hill-chords-1928433
Ed Sheeran,Galway Girl,1,https://tabs.ultimate-guitar.com/tab/ed-sheeran/galway-girl-chords-1956593
Ed Sheeran,Happier,1,https://tabs.ultimate-guitar.com/tab/ed-sheeran/happier-chords-1956585
Ed Sheeran,I See Fire,4,https://tabs.ultimate-guitar.com/tab/ed-sheeran/i-see-fire-chords-1430599
Ed Sheeran,Perfect,1,https://tabs.ultimate-guitar.com/tab/ed-sheeran/perfect-chords-1956589
Ed Sheeran,Photograph,1,https://tabs.ultimate-guitar.com/tab/ed-sheeran/photograph-chords-1493446
Ed Sheeran,Shape Of You,2,https://tabs.ultimate-guitar.com/tab/ed-sheeran/shape-of-you-chords-1928439
Ed Sheeran,Supermarket Flowers,1,https://tabs.ultimate-guitar.com/tab/ed-sheeran/supermarket-flowers-chords-1956603
Ed Sheeran,The A Team,1,https://tabs.ultimate-guitar.com/tab/ed-sheeran/the-a-team-chords-989712
Ed Sheeran,Thinking Out Loud,1,https://tabs.ultimate-guitar.com/tab/ed-sheeran/thinking-out-loud-chords-1486860
Ed Sheeran,You Need Me I Dont Need You,1,https://tabs.ultimate-guitar.com/tab/ed-sheeran/you-need-me-i-dont-need-you-chords-1677773
Edie Brickell & New Bohemians,Circle,1,https://tabs.ultimate-guitar.com/tab/edie-brickell-new-bohemians/circle-tabs-32649
Elvis Presley,Cant Help Falling In Love,1,https://tabs.ultimate-guitar.com/tab/elvis-presley/cant-help-falling-in-love-chords-1086983
Eurythmics,Sweet Dreams Are Made Of This,3,https://tabs.ultimate-guitar.com/tab/eurythmics/sweet-dreams-are-made-of-this-chords-1203755
Everlast,What Its Like,1,https://tabs.ultimate-guitar.com/tab/everlast/what-its-like-chords-1683079
Everlast,What Its Like,3,https://tabs.ultimate-guitar.com/tab/everlast/what-its-like-tabs-14353
Family of the Year,Hero,2,https://tabs.ultimate-guitar.com/tab/family-of-the-year/hero-chords-1227774
Five Finger Death Punch,Bad Company,1,https://tabs.ultimate-guitar.com/tab/five-finger-death-punch/bad-company-chords-1135070
Five Finger Death Punch,Blue On Black,1,https://tabs.ultimate-guitar.com/tab/five-finger-death-punch/blue-on-black-chords-2390593
Five Finger Death Punch,I Apologize,1,https://tabs.ultimate-guitar.com/tab/five-finger-death-punch/i-apologize-chords-1775768
